dimension,toy_a,toy_b,winner,timestamp
practical_sustainability,leapfrog-scoop-and-learn,magnet-foam-blocks,magnet-foam-blocks,2025-12-26T21:18:24.017Z
practical_sustainability,leapfrog-scoop-and-learn,maracas,maracas,2025-12-26T21:18:24.641Z
practical_sustainability,number-puzzles,oball-classic,oball-classic,2025-12-26T21:18:25.278Z
practical_sustainability,number-puzzles,operation,number-puzzles,2025-12-26T21:18:25.932Z
practical_sustainability,number-puzzles,play-food,tie,2025-12-26T21:18:26.808Z
practical_sustainability,number-puzzles,play-kitchen,play-kitchen,2025-12-26T21:18:27.434Z
practical_sustainability,number-puzzles,pogo-stick,pogo-stick,2025-12-26T21:18:28.076Z
practical_sustainability,pokemon-figures,recorder,recorder,2025-12-26T21:18:28.693Z
practical_sustainability,pokemon-figures,scribble-scrubbie,tie,2025-12-26T21:18:29.331Z
practical_sustainability,pokemon-figures,sequence-for-kids,pokemon-figures,2025-12-26T21:18:29.980Z
practical_sustainability,pokemon-figures,shape-sorter,shape-sorter,2025-12-26T21:18:30.627Z
practical_sustainability,pokemon-figures,soccer-ball,soccer-ball,2025-12-26T21:18:31.254Z
practical_sustainability,spot-it,stacking-cups,stacking-cups,2025-12-26T21:18:32.181Z
practical_sustainability,spot-it,swingball,swingball,2025-12-26T21:18:32.829Z
practical_sustainability,spot-it,tambourine,tambourine,2025-12-26T21:18:33.483Z
productive_challenge,tool-bench,anki-overdrive,anki-overdrive,2025-12-26T21:19:34.411Z
productive_challenge,ukulele,anki-overdrive,ukulele,2025-12-26T21:19:35.042Z
productive_challenge,zingo,anki-overdrive,anki-overdrive,2025-12-26T21:19:35.933Z
productive_challenge,toy-tea-set,anki-overdrive,anki-overdrive,2025-12-26T21:19:36.549Z
productive_challenge,xylophone,anki-overdrive,anki-overdrive,2025-12-26T21:19:37.162Z
productive_challenge,transformers,anki-overdrive,anki-overdrive,2025-12-26T21:19:37.773Z
productive_challenge,tricycle,anki-overdrive,anki-overdrive,2025-12-26T21:19:38.400Z
productive_challenge,trouble,anki-overdrive,anki-overdrive,2025-12-26T21:19:39.014Z
productive_challenge,uno,anki-overdrive,anki-overdrive,2025-12-26T21:19:39.627Z
productive_challenge,wagon,anki-overdrive,anki-overdrive,2025-12-26T21:19:40.496Z
productive_challenge,weather-station,anki-overdrive,anki-overdrive,2025-12-26T21:19:56.153Z
productive_challenge,weighted-blanket,anki-overdrive,anki-overdrive,2025-12-26T21:19:56.804Z
productive_challenge,weighted-lap-animal,anki-overdrive,anki-overdrive,2025-12-26T21:19:57.613Z
productive_challenge,wooden-blocks,anki-overdrive,wooden-blocks,2025-12-26T21:19:58.232Z
productive_challenge,wwe-figures,anki-overdrive,anki-overdrive,2025-12-26T21:19:58.854Z
productive_challenge,yoto-player,anki-overdrive,anki-overdrive,2025-12-26T21:19:59.471Z
productive_challenge,trampoline,anki-overdrive,trampoline,2025-12-26T21:20:00.101Z
productive_challenge,uncle-milton-ant-farm,anki-overdrive,anki-overdrive,2025-12-26T21:20:00.723Z
productive_challenge,number-puzzles,toy-parking-garage,number-puzzles,2025-12-26T21:20:01.360Z
productive_challenge,color-wonder,water-table,water-table,2025-12-26T21:20:02.132Z
productive_challenge,tool-bench,toy-tea-set,tool-bench,2025-12-26T21:20:18.800Z
productive_challenge,transformers,tricycle,tricycle,2025-12-26T21:20:19.462Z
productive_challenge,transformers,trouble,trouble,2025-12-26T21:20:20.264Z
productive_challenge,transformers,ukulele,ukulele,2025-12-26T21:20:20.887Z
productive_challenge,transformers,uno,uno,2025-12-26T21:20:21.516Z
productive_challenge,transformers,wagon,transformers,2025-12-26T21:20:22.136Z
productive_challenge,weather-station,weighted-blanket,weather-station,2025-12-26T21:20:22.758Z
productive_challenge,weather-station,weighted-lap-animal,weather-station,2025-12-26T21:20:23.386Z
productive_challenge,weather-station,wooden-blocks,wooden-blocks,2025-12-26T21:20:24.003Z
productive_challenge,weather-station,wwe-figures,weather-station,2025-12-26T21:20:24.703Z
productive_challenge,weather-station,xylophone,xylophone,2025-12-26T21:20:39.840Z
productive_challenge,yoto-player,zingo,zingo,2025-12-26T21:20:40.452Z
productive_challenge,jenga,yoto-player,jenga,2025-12-26T21:20:41.066Z
productive_challenge,jenga,zingo,jenga,2025-12-26T21:20:41.674Z
productive_challenge,jenga,jump-rope,jump-rope,2025-12-26T21:20:42.364Z
productive_challenge,jenga,kid-trax-dodge-viper,jenga,2025-12-26T21:20:43.005Z
productive_challenge,kids-golf-set,kids-guitar,kids-guitar,2025-12-26T21:20:43.631Z
productive_challenge,kids-golf-set,kids-hockey-stick,tie,2025-12-26T21:20:44.249Z
productive_challenge,kids-golf-set,kids-microscope,kids-microscope,2025-12-26T21:20:45.128Z
productive_challenge,kids-golf-set,kids-telescope,kids-telescope,2025-12-26T21:20:45.767Z
productive_challenge,tool-bench,trampoline,tool-bench,2025-12-26T21:22:59.007Z
productive_challenge,knex,labyrinth,knex,2025-12-26T21:22:59.723Z
productive_challenge,knex,leapfrog-scoop-and-learn,knex,2025-12-26T21:23:00.531Z
productive_challenge,knex,lego-city-vehicles,tie,2025-12-26T21:23:01.175Z
productive_challenge,knex,lego-classic,tie,2025-12-26T21:23:01.814Z
productive_challenge,knex,lite-brite-touch,knex,2025-12-26T21:23:02.453Z
productive_challenge,littlest-pet-shop,magnet-foam-blocks,magnet-foam-blocks,2025-12-26T21:23:03.072Z
productive_challenge,littlest-pet-shop,magnetic-tiles,magnetic-tiles,2025-12-26T21:23:03.688Z
productive_challenge,littlest-pet-shop,makedo-cardboard-tools,makedo-cardboard-tools,2025-12-26T21:23:04.315Z
productive_challenge,littlest-pet-shop,matchbox-car-garage,matchbox-car-garage,2025-12-26T21:23:05.142Z
productive_challenge,littlest-pet-shop,mbot,mbot,2025-12-26T21:23:05.766Z
productive_challenge,meccano,memory-match,meccano,2025-12-26T21:23:06.382Z
productive_challenge,meccano,munchkin-bath-toys,meccano,2025-12-26T21:23:07.013Z
productive_challenge,meccano,music-activity-table,meccano,2025-12-26T21:23:07.624Z
productive_challenge,meccano,needoh,meccano,2025-12-26T21:23:08.248Z
productive_challenge,meccano,oball-classic,meccano,2025-12-26T21:23:08.877Z
productive_challenge,osmo-genius-kit,paw-patrol,osmo-genius-kit,2025-12-26T21:23:09.502Z
productive_challenge,osmo-genius-kit,play-food,osmo-genius-kit,2025-12-26T21:23:10.292Z
productive_challenge,osmo-genius-kit,play-kitchen,osmo-genius-kit,2025-12-26T21:23:10.926Z
productive_challenge,osmo-genius-kit,playmobil-castle,osmo-genius-kit,2025-12-26T21:23:11.558Z
productive_challenge,osmo-genius-kit,playmobil-pirate-ship,osmo-genius-kit,2025-12-26T21:23:12.189Z
productive_challenge,pogo-stick,pokemon-figures,pogo-stick,2025-12-26T21:23:12.808Z
productive_challenge,pogo-stick,pound-tap-bench,pogo-stick,2025-12-26T21:23:13.425Z
productive_challenge,pogo-stick,punching-bag,tie,2025-12-26T21:23:14.063Z
productive_challenge,pogo-stick,radio-flyer-ride-on,pogo-stick,2025-12-26T21:23:14.778Z
productive_challenge,pogo-stick,rainbow-stacker,pogo-stick,2025-12-26T21:23:15.537Z
productive_challenge,ravensburger-puzzle,razor-electric-scooter,ravensburger-puzzle,2025-12-26T21:23:16.178Z
productive_challenge,ravensburger-puzzle,rubiks-cube,rubiks-cube,2025-12-26T21:23:16.798Z
productive_challenge,ravensburger-puzzle,rush-hour,rush-hour,2025-12-26T21:23:17.471Z
productive_challenge,ravensburger-puzzle,safari-ltd-toobs,ravensburger-puzzle,2025-12-26T21:23:18.092Z
productive_challenge,ravensburger-puzzle,sandbox,sandbox,2025-12-26T21:23:18.730Z
productive_challenge,schleich-farm-tractor,schleich-wild-animals,tie,2025-12-26T21:23:19.360Z
productive_challenge,schleich-farm-tractor,science-kit,science-kit,2025-12-26T21:23:20.065Z
productive_challenge,schleich-farm-tractor,sequence-for-kids,sequence-for-kids,2025-12-26T21:23:20.684Z
productive_challenge,schleich-farm-tractor,snap-circuits,snap-circuits,2025-12-26T21:23:21.320Z
productive_challenge,schleich-farm-tractor,soccer-ball,soccer-ball,2025-12-26T21:23:21.962Z
productive_challenge,sophie-la-girafe,sorry,sorry,2025-12-26T21:23:22.576Z
productive_challenge,sophie-la-girafe,spot-it,spot-it,2025-12-26T21:23:23.200Z
productive_challenge,sophie-la-girafe,stacking-rings,stacking-rings,2025-12-26T21:23:23.891Z
productive_challenge,sophie-la-girafe,star-wars-figures,star-wars-figures,2025-12-26T21:23:24.543Z
productive_challenge,toy-tea-set,tricycle,tie,2025-12-26T21:27:18.242Z
productive_challenge,step2-roller-coaster,tambourine,tambourine,2025-12-26T21:27:18.893Z
productive_challenge,step2-roller-coaster,tangrams,tangrams,2025-12-26T21:27:19.736Z
productive_challenge,step2-roller-coaster,teenage-mutant-ninja-turtles,tie,2025-12-26T21:27:20.348Z
productive_challenge,step2-roller-coaster,tonka-steel-truck,tie,2025-12-26T21:27:21.035Z
productive_challenge,step2-roller-coaster,toy-fire-truck,tie,2025-12-26T21:27:21.655Z
productive_challenge,toy-parking-garage,trouble,trouble,2025-12-26T21:27:22.295Z
productive_challenge,toy-parking-garage,ukulele,ukulele,2025-12-26T21:27:22.913Z
productive_challenge,toy-parking-garage,uncle-milton-ant-farm,uncle-milton-ant-farm,2025-12-26T21:27:23.547Z
productive_challenge,toy-parking-garage,uno,uno,2025-12-26T21:27:24.400Z
productive_challenge,toy-parking-garage,wagon,wagon,2025-12-26T21:27:41.290Z
productive_challenge,water-table,weighted-blanket,water-table,2025-12-26T21:27:41.897Z
productive_challenge,water-table,weighted-lap-animal,water-table,2025-12-26T21:27:42.702Z
productive_challenge,water-table,wooden-blocks,wooden-blocks,2025-12-26T21:27:43.357Z
productive_challenge,water-table,wwe-figures,water-table,2025-12-26T21:27:43.971Z
productive_challenge,water-table,xylophone,xylophone,2025-12-26T21:27:44.595Z
productive_challenge,banana-toothbrush,bruder-construction-truck,bruder-construction-truck,2025-12-26T21:27:45.203Z
productive_challenge,banana-toothbrush,bug-vacuum-explorer-kit,bug-vacuum-explorer-kit,2025-12-26T21:27:45.891Z
productive_challenge,banana-toothbrush,building-gears,building-gears,2025-12-26T21:27:46.525Z
productive_challenge,banana-toothbrush,calico-critters,calico-critters,2025-12-26T21:27:47.123Z
productive_challenge,banana-toothbrush,candy-land,candy-land,2025-12-26T21:28:04.190Z
productive_challenge,cash-register,catan-junior,catan-junior,2025-12-26T21:28:04.807Z
productive_challenge,cash-register,climbing-dome,climbing-dome,2025-12-26T21:28:05.441Z
productive_challenge,cash-register,connect-four,connect-four,2025-12-26T21:28:06.062Z
productive_challenge,cash-register,crayons,crayons,2025-12-26T21:28:06.676Z
productive_challenge,cash-register,croquet-set,croquet-set,2025-12-26T21:28:07.292Z
productive_challenge,crystal-growing-kit,cuisenaire-rods,cuisenaire-rods,2025-12-26T21:28:08.100Z
productive_challenge,crystal-growing-kit,dinosaurs,dinosaurs,2025-12-26T21:28:08.770Z
productive_challenge,crystal-growing-kit,doctor-kit,doctor-kit,2025-12-26T21:28:09.396Z
productive_challenge,crystal-growing-kit,dollhouse,dollhouse,2025-12-26T21:28:10.012Z
productive_challenge,crystal-growing-kit,dowling-magnets-magnet-set,dowling-magnets-magnet-set,2025-12-26T21:28:29.518Z
productive_challenge,farm-animals,fat-brain-air-toobz,fat-brain-air-toobz,2025-12-26T21:28:30.129Z
productive_challenge,farm-animals,finger-paint,finger-paint,2025-12-26T21:28:30.912Z
productive_challenge,farm-animals,fisher-price-imaginext,fisher-price-imaginext,2025-12-26T21:28:31.498Z
productive_challenge,farm-animals,flash-cards,flash-cards,2025-12-26T21:28:32.060Z
productive_challenge,farm-animals,foosball-table,foosball-table,2025-12-26T21:28:32.633Z
productive_challenge,frisbee,gravitrax,gravitrax,2025-12-26T21:28:33.229Z
productive_challenge,frisbee,hape-quadrilla,hape-quadrilla,2025-12-26T21:28:33.844Z
productive_challenge,frisbee,hot-wheels,hot-wheels,2025-12-26T21:28:34.473Z
productive_challenge,frisbee,hula-hoop,frisbee,2025-12-26T21:28:35.124Z
sensory_engagement,trampoline,tricycle,trampoline,2025-12-26T21:30:18.952Z
sensory_engagement,wagon,water-table,water-table,2025-12-26T21:30:19.664Z
sensory_engagement,wagon,weighted-lap-animal,weighted-lap-animal,2025-12-26T21:30:20.543Z
sensory_engagement,wagon,wooden-blocks,wooden-blocks,2025-12-26T21:30:21.172Z
sensory_engagement,wagon,wwe-figures,wagon,2025-12-26T21:30:21.830Z
sensory_engagement,wagon,xylophone,xylophone,2025-12-26T21:30:22.475Z
sensory_engagement,flash-cards,zingo,zingo,2025-12-26T21:30:23.102Z
sensory_engagement,flash-cards,guess-who,guess-who,2025-12-26T21:30:23.739Z
sensory_engagement,flash-cards,gymnastics-mat,gymnastics-mat,2025-12-26T21:30:24.380Z
sensory_engagement,flash-cards,infinity-cube,infinity-cube,2025-12-26T21:30:25.359Z
sensory_engagement,flash-cards,jurassic-world-figures,jurassic-world-figures,2025-12-26T21:30:26.010Z
sensory_engagement,kids-drum-set,kids-keyboard,kids-drum-set,2025-12-26T21:30:26.721Z
sensory_engagement,kids-drum-set,knex,kids-drum-set,2025-12-26T21:30:27.374Z
sensory_engagement,kids-drum-set,labyrinth,labyrinth,2025-12-26T21:30:28.036Z
sensory_engagement,kids-drum-set,leapfrog-letter-factory,kids-drum-set,2025-12-26T21:30:28.661Z
sensory_engagement,kids-drum-set,leapfrog-scoop-and-learn,kids-drum-set,2025-12-26T21:30:29.294Z
sensory_engagement,little-tikes-cozy-coupe,littlest-pet-shop,little-tikes-cozy-coupe,2025-12-26T21:30:30.313Z
sensory_engagement,little-tikes-cozy-coupe,magnet-foam-blocks,magnet-foam-blocks,2025-12-26T21:30:30.954Z
sensory_engagement,little-tikes-cozy-coupe,marvel-legends,little-tikes-cozy-coupe,2025-12-26T21:30:31.688Z
sensory_engagement,little-tikes-cozy-coupe,matchbox-car-garage,little-tikes-cozy-coupe,2025-12-26T21:30:32.336Z
sensory_engagement,little-tikes-cozy-coupe,number-puzzles,number-puzzles,2025-12-26T21:30:32.972Z
sensory_engagement,operation,play-food,play-food,2025-12-26T21:30:33.675Z
sensory_engagement,operation,pogo-stick,pogo-stick,2025-12-26T21:30:34.379Z
sensory_engagement,operation,pokemon-figures,tie,2025-12-26T21:30:35.264Z
sensory_engagement,operation,push-toy,push-toy,2025-12-26T21:30:35.900Z
sensory_engagement,operation,rainbow-stacker,rainbow-stacker,2025-12-26T21:30:36.592Z
sensory_engagement,recorder,rock-collection,rock-collection,2025-12-26T21:30:37.240Z
sensory_engagement,recorder,sandbox,sandbox,2025-12-26T21:30:37.861Z
sensory_engagement,recorder,sarahs-silks,sarahs-silks,2025-12-26T21:30:38.504Z
sensory_engagement,recorder,schleich-dinosaurs,tie,2025-12-26T21:30:39.152Z
sensory_engagement,recorder,schleich-farm-tractor,schleich-farm-tractor,2025-12-26T21:30:39.996Z
sensory_engagement,sorry,spirograph,spirograph,2025-12-26T21:30:40.651Z
sensory_engagement,sorry,stacking-rings,stacking-rings,2025-12-26T21:30:41.276Z
sensory_engagement,sorry,star-wars-figures,tie,2025-12-26T21:30:42.028Z
sensory_engagement,sorry,step2-roller-coaster,step2-roller-coaster,2025-12-26T21:30:42.752Z
sensory_engagement,sorry,strider-balance-bike,strider-balance-bike,2025-12-26T21:30:43.400Z
sensory_engagement,tangle-fidget,tangrams,tangrams,2025-12-26T21:30:44.035Z
sensory_engagement,tangle-fidget,teenage-mutant-ninja-turtles,tangle-fidget,2025-12-26T21:30:44.870Z
sensory_engagement,tangle-fidget,tennis-racket-set,tennis-racket-set,2025-12-26T21:30:45.626Z
sensory_engagement,tangle-fidget,ticket-to-ride-first-journey,tangle-fidget,2025-12-26T21:30:46.268Z
sensory_engagement,trampoline,trouble,trampoline,2025-12-26T21:32:17.084Z
sensory_engagement,tonka-steel-truck,transformers,tonka-steel-truck,2025-12-26T21:32:17.725Z
sensory_engagement,tonka-steel-truck,tricycle,tie,2025-12-26T21:32:18.629Z
sensory_engagement,tonka-steel-truck,ukulele,ukulele,2025-12-26T21:32:19.266Z
sensory_engagement,tonka-steel-truck,uncle-milton-ant-farm,tonka-steel-truck,2025-12-26T21:32:19.897Z
sensory_engagement,tonka-steel-truck,uno,tonka-steel-truck,2025-12-26T21:32:20.512Z
sensory_engagement,water-table,weather-station,water-table,2025-12-26T21:32:21.145Z
sensory_engagement,water-table,weighted-lap-animal,weighted-lap-animal,2025-12-26T21:32:21.784Z
sensory_engagement,water-table,wooden-blocks,wooden-blocks,2025-12-26T21:32:22.418Z
sensory_engagement,water-table,wwe-figures,water-table,2025-12-26T21:32:23.233Z
sensory_engagement,water-table,xylophone,xylophone,2025-12-26T21:32:23.879Z
sensory_engagement,yoto-player,zingo,zingo,2025-12-26T21:32:24.510Z
sensory_engagement,balance-beam,yoto-player,balance-beam,2025-12-26T21:32:25.134Z
sensory_engagement,balance-beam,zingo,balance-beam,2025-12-26T21:32:25.780Z
sensory_engagement,balance-beam,botley,balance-beam,2025-12-26T21:32:26.504Z
sensory_engagement,balance-beam,bowling-set,tie,2025-12-26T21:32:27.141Z
sensory_engagement,cash-register,checkers,checkers,2025-12-26T21:32:27.850Z
sensory_engagement,cash-register,chess-for-kids,chess-for-kids,2025-12-26T21:32:28.726Z
sensory_engagement,cash-register,chutes-and-ladders,cash-register,2025-12-26T21:32:29.357Z
sensory_engagement,cash-register,color-wonder,cash-register,2025-12-26T21:32:30.007Z
sensory_engagement,cash-register,crayons,crayons,2025-12-26T21:32:51.096Z
sensory_engagement,crystal-growing-kit,dc-superheroes,crystal-growing-kit,2025-12-26T21:32:51.735Z
sensory_engagement,crystal-growing-kit,doctor-kit,crystal-growing-kit,2025-12-26T21:32:52.364Z
sensory_engagement,crystal-growing-kit,dollhouse,dollhouse,2025-12-26T21:32:52.994Z
sensory_engagement,crystal-growing-kit,dolls,dolls,2025-12-26T21:32:53.627Z
sensory_engagement,crystal-growing-kit,dress-up-clothes,dress-up-clothes,2025-12-26T21:32:54.276Z
sensory_engagement,etch-a-sketch,fat-brain-air-toobz,fat-brain-air-toobz,2025-12-26T21:32:55.262Z
sensory_engagement,etch-a-sketch,fidget-poppers,etch-a-sketch,2025-12-26T21:32:55.893Z
sensory_engagement,etch-a-sketch,fidget-spinner,etch-a-sketch,2025-12-26T21:32:56.520Z
sensory_engagement,etch-a-sketch,frisbee,frisbee,2025-12-26T21:32:57.217Z
sensory_engagement,etch-a-sketch,gravity-maze,gravity-maze,2025-12-26T21:32:57.862Z
sensory_engagement,guess-who,gymnastics-mat,gymnastics-mat,2025-12-26T21:32:58.499Z
sensory_engagement,guess-who,hot-wheels,hot-wheels,2025-12-26T21:32:59.142Z
sensory_engagement,guess-who,hula-hoop,hula-hoop,2025-12-26T21:33:00.068Z
sensory_engagement,guess-who,infinity-cube,infinity-cube,2025-12-26T21:33:00.750Z
sensory_engagement,guess-who,interactive-globe,guess-who,2025-12-26T21:33:01.389Z
sensory_engagement,jump-rope,jurassic-world-figures,jump-rope,2025-12-26T21:33:02.026Z
sensory_engagement,jump-rope,kids-guitar,kids-guitar,2025-12-26T21:33:02.666Z
sensory_engagement,jump-rope,kids-hockey-stick,tie,2025-12-26T21:33:03.313Z
sensory_engagement,jump-rope,kids-keyboard,kids-keyboard,2025-12-26T21:33:04.047Z
social_affordance,ukulele,alphabet-blocks,alphabet-blocks,2025-12-26T21:34:23.258Z
social_affordance,zingo,alphabet-blocks,zingo,2025-12-26T21:34:23.908Z
social_affordance,xylophone,alphabet-blocks,alphabet-blocks,2025-12-26T21:34:24.877Z
social_affordance,uncle-milton-ant-farm,alphabet-blocks,alphabet-blocks,2025-12-26T21:34:25.499Z
social_affordance,uno,alphabet-blocks,uno,2025-12-26T21:34:26.122Z
social_affordance,wagon,alphabet-blocks,wagon,2025-12-26T21:34:26.798Z
social_affordance,water-table,alphabet-blocks,water-table,2025-12-26T21:34:27.424Z
social_affordance,weather-station,alphabet-blocks,alphabet-blocks,2025-12-26T21:34:28.042Z
social_affordance,weighted-blanket,alphabet-blocks,alphabet-blocks,2025-12-26T21:34:28.672Z
social_affordance,wooden-blocks,alphabet-blocks,tie,2025-12-26T21:34:29.469Z
social_affordance,wwe-figures,alphabet-blocks,wwe-figures,2025-12-26T21:34:47.400Z
social_affordance,yoto-player,alphabet-blocks,alphabet-blocks,2025-12-26T21:34:48.077Z
social_affordance,razor-electric-scooter,punching-bag,tie,2025-12-26T21:34:48.935Z
social_affordance,kids-drum-set,rainbow-stacker,rainbow-stacker,2025-12-26T21:34:49.563Z
social_affordance,paw-patrol,thomas-trackmaster,tie,2025-12-26T21:34:50.188Z
social_affordance,power-wheels,kids-telescope,power-wheels,2025-12-26T21:34:50.829Z
social_affordance,tangrams,play-food,play-food,2025-12-26T21:34:51.477Z
social_affordance,dominoes,weighted-lap-animal,dominoes,2025-12-26T21:34:52.114Z
social_affordance,tambourine,candy-land,candy-land,2025-12-26T21:34:52.747Z
social_affordance,rc-monster-truck,rock-collection,rc-monster-truck,2025-12-26T21:34:53.569Z
social_affordance,sandbox,sarahs-silks,sandbox,2025-12-26T21:35:13.113Z
social_affordance,science-kit,scribble-scrubbie,scribble-scrubbie,2025-12-26T21:35:13.946Z
social_affordance,sophie-la-girafe,sorry,sorry,2025-12-26T21:35:14.747Z
social_affordance,tennis-racket-set,thinkfun-code-master,tennis-racket-set,2025-12-26T21:35:15.378Z
social_affordance,tricycle,tennis-racket-set,tennis-racket-set,2025-12-26T21:35:16.003Z
social_affordance,kids-hockey-stick,kids-keyboard,kids-hockey-stick,2025-12-26T21:35:16.627Z
social_affordance,labyrinth,leapfrog-letter-factory,labyrinth,2025-12-26T21:35:17.261Z
social_affordance,push-toy,radio-flyer-ride-on,tie,2025-12-26T21:35:17.910Z
social_affordance,rubiks-cube,rush-hour,tie,2025-12-26T21:35:18.557Z
social_affordance,schleich-farm-tractor,schleich-horses,schleich-horses,2025-12-26T21:35:19.590Z
social_affordance,snap-circuits,spirograph,snap-circuits,2025-12-26T21:35:40.291Z
social_affordance,star-wars-figures,step2-roller-coaster,star-wars-figures,2025-12-26T21:35:41.018Z
social_affordance,tool-bench,toy-fire-truck,toy-fire-truck,2025-12-26T21:35:41.892Z
social_affordance,ukulele,uncle-milton-ant-farm,ukulele,2025-12-26T21:35:42.524Z
social_affordance,uno,wagon,uno,2025-12-26T21:35:43.155Z
social_affordance,uno,water-table,water-table,2025-12-26T21:35:43.812Z
social_affordance,uno,weather-station,uno,2025-12-26T21:35:44.450Z
social_affordance,uno,weighted-blanket,uno,2025-12-26T21:35:45.100Z
expressive_range,banana-toothbrush,chess-for-kids,chess-for-kids,2025-12-26T21:35:45.656Z
social_affordance,uno,wooden-blocks,wooden-blocks,2025-12-26T21:35:45.747Z
expressive_range,banana-toothbrush,busy-board,busy-board,2025-12-26T21:35:45.809Z
expressive_range,operation,paw-patrol,paw-patrol,2025-12-26T21:35:46.168Z
expressive_range,banana-toothbrush,bruder-construction-truck,bruder-construction-truck,2025-12-26T21:35:46.761Z
social_affordance,wwe-figures,xylophone,wwe-figures,2025-12-26T21:35:46.870Z
expressive_range,banana-toothbrush,bowling-set,bowling-set,2025-12-26T21:35:46.945Z
expressive_range,banana-toothbrush,catan-junior,catan-junior,2025-12-26T21:35:46.957Z
expressive_range,tonka-steel-truck,toy-fire-truck,toy-fire-truck,2025-12-26T21:35:49.811Z
expressive_range,candy-land,zingo,candy-land,2025-12-26T21:35:53.073Z
expressive_range,chutes-and-ladders,cozy-coupe,cozy-coupe,2025-12-26T21:35:53.136Z
expressive_range,chutes-and-ladders,doctor-kit,doctor-kit,2025-12-26T21:35:53.670Z
expressive_range,trouble,uno,uno,2025-12-26T21:35:53.757Z
expressive_range,dolls,dowling-magnets-magnet-set,dolls,2025-12-26T21:35:54.336Z
expressive_range,chutes-and-ladders,cubetto-coding-robot,cubetto-coding-robot,2025-12-26T21:35:54.756Z
expressive_range,chutes-and-ladders,dinosaurs,dinosaurs,2025-12-26T21:35:55.404Z
expressive_range,dolls,dress-up-clothes,dress-up-clothes,2025-12-26T21:36:00.951Z
expressive_range,farm-animals,flash-cards,farm-animals,2025-12-26T21:36:01.122Z
expressive_range,farm-animals,frisbee,farm-animals,2025-12-26T21:36:01.726Z
expressive_range,dolls,duplo,duplo,2025-12-26T21:36:02.274Z
expressive_range,dolls,fat-brain-air-toobz,dolls,2025-12-26T21:36:02.908Z
expressive_range,farm-animals,guess-who,farm-animals,2025-12-26T21:36:03.088Z
expressive_range,farm-animals,finger-paint,finger-paint,2025-12-26T21:36:03.193Z
expressive_range,chutes-and-ladders,connect-four,connect-four,2025-12-26T21:36:06.354Z
expressive_range,dolls,etch-a-sketch,dolls,2025-12-26T21:36:06.924Z
expressive_range,hape-quadrilla,labyrinth,hape-quadrilla,2025-12-26T21:36:10.376Z
expressive_range,hape-quadrilla,manhattan-toy-winkel,hape-quadrilla,2025-12-26T21:36:10.494Z
expressive_range,farm-animals,gymnastics-mat,farm-animals,2025-12-26T21:36:12.336Z
expressive_range,mbot,music-activity-table,mbot,2025-12-26T21:36:13.786Z
expressive_range,hape-quadrilla,lego-city-vehicles,lego-city-vehicles,2025-12-26T21:36:14.036Z
expressive_range,mbot,modeling-clay,modeling-clay,2025-12-26T21:36:16.576Z
expressive_range,hape-quadrilla,kids-hockey-stick,hape-quadrilla,2025-12-26T21:36:17.176Z
expressive_range,osmo-genius-kit,playmobil-pirate-ship,playmobil-pirate-ship,2025-12-26T21:36:19.718Z
expressive_range,osmo-genius-kit,play-food,play-food,2025-12-26T21:36:22.167Z
expressive_range,mbot,needoh,mbot,2025-12-26T21:36:23.197Z
expressive_range,osmo-genius-kit,pokemon-figures,pokemon-figures,2025-12-26T21:36:25.475Z
expressive_range,osmo-genius-kit,pj-masks-figures,pj-masks-figures,2025-12-26T21:36:26.155Z
expressive_range,rc-monster-truck,schleich-wild-animals,schleich-wild-animals,2025-12-26T21:36:26.445Z
expressive_range,osmo-genius-kit,ravensburger-puzzle,osmo-genius-kit,2025-12-26T21:36:27.432Z
expressive_range,mbot,munchkin-bath-toys,munchkin-bath-toys,2025-12-26T21:36:28.029Z
expressive_range,rc-monster-truck,schleich-farm-tractor,schleich-farm-tractor,2025-12-26T21:36:29.128Z
expressive_range,rush-hour,snap-circuits,snap-circuits,2025-12-26T21:36:33.945Z
expressive_range,rush-hour,spirograph,spirograph,2025-12-26T21:36:35.381Z
expressive_range,rush-hour,stacking-cups,stacking-cups,2025-12-26T21:36:35.385Z
expressive_range,rush-hour,star-wars-figures,star-wars-figures,2025-12-26T21:36:36.225Z
expressive_range,mbot,meccano,mbot,2025-12-26T21:36:37.011Z
expressive_range,rc-monster-truck,science-kit,science-kit,2025-12-26T21:36:42.022Z
expressive_range,rush-hour,sophie-la-girafe,sophie-la-girafe,2025-12-26T21:36:42.681Z
expressive_range,step2-roller-coaster,tool-bench,tool-bench,2025-12-26T21:36:43.828Z
expressive_range,hape-quadrilla,matchbox-car-garage,hape-quadrilla,2025-12-26T21:36:44.151Z
expressive_range,step2-roller-coaster,swing-set,swing-set,2025-12-26T21:36:45.440Z
expressive_range,step2-roller-coaster,swingball,step2-roller-coaster,2025-12-26T21:36:47.151Z
expressive_range,step2-roller-coaster,tangle-fidget,tangle-fidget,2025-12-26T21:36:48.950Z
expressive_range,step2-roller-coaster,toy-tea-set,toy-tea-set,2025-12-26T21:36:49.147Z
expressive_range,rc-monster-truck,sequence-for-kids,rc-monster-truck,2025-12-26T21:36:50.371Z
expressive_range,ukulele,water-table,water-table,2025-12-26T21:36:51.382Z
expressive_range,ukulele,wooden-blocks,wooden-blocks,2025-12-26T21:36:55.960Z
